"airport","arr_flights","arr_cancelled","arr_delayed","arr_delay_time","weather_prop","longitude_deg","latitude_deg","region_name","USAFID","lat","lon","temp","elev","wind.sp","vis.dist","rh","d","pct_delay","pct_cancel"
"CLT",20317,559,3669,302501,0.0551506836857467,-80.9430999755859,35.2140007019043,"NorthCarolina",723140,35.214,-80.955,25.3965174129353,233.995024875622,2.43521594684385,14267.3781094527,72.8068590693458,1.08107797665308,0.180587685189743,0.0275139046119014
"CMH",4183,94,840,57402,0.0537428436155824,-82.891899,39.998001,"Ohio",724280,39.991,-82.892,23.2514602215509,249.61530715005,3.10956696878147,14852.1903323263,68.1477988003841,0.778523226155779,0.200812813770022,0.0224719101123595
"CMI",273,10,67,3789,0.18368962787015,-88.276249,40.039819,"Illinois",725315,40.04,-88.278,22.1800433839479,233,2.66434023991276,14138.1431670282,80.008316986629,0.150415987614524,0.245421245421245,0.0366300366300366
"CMX",62,2,20,1633,0,-88.4890975952148,47.168399810791,"Michigan",725387,47.467,-87.883,18.160752688172,190.998655913978,3.12506811989101,NA,74.3856879264926,56.4792313909374,0.32258064516129,0.032258064516129
"CNY",61,4,11,619,0.0145395799676898,-109.7549973,38.75500107,"Utah",724776,38.75,-109.762,27.6732,1390.984,2.81799450549451,16086.5546666667,20.2479721070249,0.823401077146293,0.180327868852459,0.0655737704918033
"COD",42,0,4,337,0,-109.024002075,44.520198822,"Wyoming",726700,44.517,-109.024,19.9766467065868,1553.08143712575,3.06630565583634,15286.4371257485,49.0393775214286,0.355692815684308,0.0952380952380952,0
"COS",954,16,199,14984,0.0503257724754271,-104.700996,38.805801,"Colorado",724660,38.806,-104.701,22.5625,1881.17045454545,4.19113636363636,15860.7647727273,47.3507124616416,0.0221305048088309,0.208595387840671,0.0167714884696017
"COU",192,4,42,2468,0.0759804907481899,-92.219597,38.8181,"Missouri",724450,38.817,-92.22,23.9944013781223,273.968992248062,3.18733850129199,15224.7149009475,76.3983122620535,0.127200064937081,0.21875,0.0208333333333333
"CPR",130,0,16,1983,0,-106.463997,42.908001,"Wyoming",725690,42.898,-106.473,20.6998956158664,1612.09394572025,4.03379237288136,15999.5114822547,47.4537125040106,1.33207111610856,0.123076923076923,0
"CRP",498,12,80,4333,0.0584427451412263,-97.501198,27.770399,"Texas",722510,27.77,-97.512,30.0817510548523,13.2616033755274,4.65242616033755,15827.1065400844,73.771222977127,1.06371150047826,0.160642570281124,0.0240963855421687
"CRW",387,9,100,8812,0.0419865414472241,-81.593201,38.3731,"WestVirginia",724140,38.367,-81.6,23.4421586715867,299,1.55457063711911,14757.2825484765,72.8419837082483,0.900779403136075,0.258397932816537,0.0232558139534884
"CSG",118,0,17,837,0.001194743130227,-84.9389038085938,32.516300201416,"Georgia",722255,32.516,-84.942,27.4385744234801,120.009433962264,2.27026455026455,14941.715932914,72.0861012415555,0.292224124287584,0.14406779661017,0
