"airport","arr_flights","arr_cancelled","arr_delayed","arr_delay_time","longitude_deg","latitude_deg","region_name","USAFID","lat","lon","temp","elev","wind.sp","vis.dist","rh","d"
"HNL",237896,2502,31288,1631816,-157.924228,21.32062,"Hawaii",720646,37.513,-122.501,15.5011343584573,20,2.81851193499238,9740.47969735183,90.1972552804278,3842.70154493036
"HOB",2612,36,441,38410,-103.2170029,32.6875,"NewMexico",722688,32.688,-103.217,27.8521560574949,1116,4.19465020576132,16059.9561943874,43.6920487401684,0.05559812571739
"HOU",263353,8449,45551,2348148,-95.2789,29.645399,"Texas",722440,29.638,-95.282,29.5873820754717,14,3.15094339622642,15427.8573113208,71.7621680770067,0.87558190164247
"HPN",41223,1329,8846,659524,-73.7076034545898,41.0670013427734,"NewYork",725037,41.067,-73.708,22.1327124563446,121.469150174622,2.37846332945285,13929.6658905704,76.1062664987039,0.033244526282097
"HRL",17600,415,3023,168775,-97.6544036865234,26.2285003662109,"Texas",722505,26.228,-97.654,30.7051682692308,11,5.23273164861612,15809.1682692308,70.2144736060041,0.0686802690114207
"HSV",36040,942,5728,367211,-86.775101,34.637199,"Alabama",723230,34.637,-86.786,25.5111216730038,195.984790874525,2.14376784015224,14433.5541825095,79.6452928279732,0.997369766979994
"HTS",2785,102,572,36565,-82.557999,38.366699,"WestVirginia",724250,38.365,-82.558,23.1897875816993,254.928921568627,1.68788870703764,12921.6960784314,77.9236866641769,0.188920200485592
"HVN",2113,109,290,19492,-72.88680267,41.26369858,"Connecticut",725045,41.264,-72.887,23.7456932773109,4,2.51398527865405,14643.9033613445,75.5314728463698,0.0373547993932143
"HYA",436,12,99,8459,-70.280403,41.6693,"Massachusetts",725067,41.669,-70.28,22.5993217054264,16.0067829457364,3.33676042677013,13888.6450048497,77.5044899998788,0.0472578144447484
"HYS",4524,107,794,75223,-99.27320099,38.84220123,"Kansas",724518,38.842,-99.273,23.5978095238095,609,4.80361904761905,14664.2057142857,79.4462470030999,0.0283493284466116
"IAD",284996,6498,44306,3285464,-77.455803,38.9445,"Virginia",724030,38.935,-77.483,24.4459016393443,96.9180327868852,2.40521739130435,14941.4821600771,69.7514186371707,2.57853044842313
"IAG",3009,125,436,32143,-78.946198,43.1073,"NewYork",725287,43.107,-78.946,20.9090497737557,179.005656108597,3.7,14997.556561086,72.4226721499416,0.0370291159000362
"IAH",715571,15427,117719,8369814,-95.3414001464844,29.9843997955322,"Texas",722430,29.967,-95.36,29.9629589632829,32.1252699784017,2.68088552915767,15749.0820734341,69.7179251048114,2.63685781333534
"ICT",44504,1117,7938,488221,-97.433098,37.649899,"Kansas",724500,37.648,-97.433,25.9404527559055,408.121062992126,4.50816929133858,15425.3169291339,72.2952206019905,0.211335362083582
"IDA",14173,200,2057,140661,-112.070999,43.514599,"Idaho",725785,43.515,-112.071,20.162037037037,1446,3.88342175066313,15968.8437086093,45.8530067923389,0.0445892385006829
"IFP",62,0,16,1074,-114.559998,35.157398,"Arizona",723788,35.157,-114.56,35.620875824835,212,2.57942238267148,17407.4092548077,17.2911002962374,0.0442559542998682
"ILG",165,6,44,2678,-75.60649872,39.67869949,"Delaware",724180,39.674,-75.607,24.5602576808722,24,2.75308151093439,14517.277060576,77.88806024621,0.524317516986473
"ILM",27493,909,4410,264663,-77.9026031494141,34.2705993652344,"NorthCarolina",723020,34.267,-77.9,26.4240121580547,11.6246200607903,2.81425304878048,14878.2480974125,80.9051105348694,0.466267940696015
"IMT",3218,44,401,29973,-88.1145019531,45.8184013367,"Michigan",726480,45.723,-87.094,17.4363357215967,186,2.58401639344262,13076.3995901639,80.8723736647896,79.8592785652673
"IND",197164,5180,35506,2234587,-86.294403,39.7173,"Indiana",724380,39.717,-86.294,23.4124888492418,245.983942908118,3.71151785714285,15122.0071364853,71.8546541617623,0.0479680004115655
"INL",2856,75,312,30646,-93.4030990600586,48.5662002563477,"Minnesota",726544,48.016,-92.856,17.2083607636602,400,1.58885959129861,15527.392034233,70.6595244615202,73.356501686833
"IPT",71,0,7,1894,-76.9210968017578,41.2417984008789,"Pennsylvania",725140,41.242,-76.922,21.0425,160.000862068966,1.75979292493529,14472.4310344828,77.598577807296,0.078774332493108
"ISP",24903,879,5379,345724,-73.10019684,40.79520035,"NewYork",725016,40.822,-72.869,22.6754519505233,25,2.37604961832061,14001.7887725975,78.0653937038922,19.6851036651918
"ITH",3177,72,460,32832,-76.4583969116211,42.4910011291504,"NewYork",725155,42.483,-76.467,18.9285714285714,335,2.43263888888889,14487.4382929642,82.9572280154413,1.13542323288421
"ITO",28640,342,2633,102159,-155.048004,19.721399,"Hawaii",720646,37.513,-122.501,15.5011343584573,20,2.81851193499238,9740.47969735183,90.1972552804278,3713.22613779864
"JAC",23662,394,4166,291595,-110.737998962402,43.6072998046875,"Wyoming",725776,43.6,-110.738,15.9173170731707,1965.04146341463,2.93827160493827,15674.4926829268,53.1018353299035,0.811701251045652
"JAN",33587,892,5454,341037,-90.075897,32.311199,"Mississippi",722350,32.311,-90.083,27.0310821806347,98.9967453213995,2.06903015484922,14462.427990236,75.325634334323,0.667887529123627
"JAX",132088,3134,25299,1533371,-81.6878967285156,30.4941005706787,"Florida",722060,30.483,-81.7,27.2672859450727,10.1987075928918,2.73384491114701,14688.5525040388,81.6104745925556,1.69367994030459
"JFK",519278,13972,101782,7917904,-73.779317,40.639447,"NewYork",725030,40.777,-73.88,24.7689929328622,8.99469964664311,3.93939929328622,15392.6492932862,64.0385168056377,17.4918624005052
